Distance_messure,count,mean,std,min,25%,50%,75%,max
canberra,248.0,0.00186,0.00447,0.0001,0.00013,0.00024,0.00208,0.02548
chebyshev,248.0,0.00206,0.00518,0.0001,0.00013,0.00018,0.00225,0.03213
cityblock,248.0,0.00198,0.00489,9e-05,0.00014,0.0002,0.00226,0.02662
euclidean,248.0,0.00219,0.0057,0.0001,0.00014,0.00023,0.00242,0.03824
