Distance_messure,count,mean,std,min,25%,50%,75%,max
canberra,248.0,78.43145,139.33548,4.0,8.0,11.0,96.0,793.0
chebyshev,248.0,106.31452,201.14413,10.0,11.0,17.0,95.75,1199.0
cityblock,248.0,67.6129,126.79549,4.0,8.0,13.0,83.0,793.0
euclidean,248.0,79.24194,157.82524,4.0,8.0,14.0,83.0,1197.0
