Linkage_method,count,mean,std,min,25%,50%,75%,max
average,248.0,67.50403,121.7001,4.0,7.5,14.0,83.0,858.0
complete,248.0,65.97984,120.13189,9.0,10.0,17.0,78.0,1199.0
single,248.0,157.75403,244.33941,8.0,11.0,15.0,183.0,1199.0
ward,248.0,40.3629,69.03263,4.0,6.0,12.0,49.25,793.0
