knowledge_base,Linkage_method,Distance_messure,Smalest_group_count,Computation_time,Cluster_count,Largest_group_count,silhouette_score,Atribute_count,Rule_count
test_3B_26_08_2015_19_57_12,complete,canberra,1,0.0010018348693847,8,85,0.6931401053077214,34,199
test_3B_26_08_2015_19_57_12,average,canberra,1,0.0010008811950683,8,85,0.6906223719615631,34,199
test_3B_26_08_2015_19_57_12,ward,canberra,97,0.0010006427764892,2,106,0.4440141251805871,34,199
test_3B_26_08_2015_19_57_12,single,cityblock,1,0.0,10,91,0.2438505024154326,34,199
test_3B_26_08_2015_19_57_12,complete,cityblock,14,0.0010018348693847,5,104,0.4048557644194682,34,199
test_3B_26_08_2015_19_57_12,average,cityblock,14,0.0,5,105,0.4048557644194682,34,199
test_3B_26_08_2015_19_57_12,ward,cityblock,98,0.0009984970092773,2,105,0.4090318469543713,34,199
test_3B_26_08_2015_19_57_12,single,chebyshev,8,0.0,5,96,,34,199
test_3B_26_08_2015_19_57_12,complete,chebyshev,8,0.0,9,48,0.205473245814955,34,199
test_3B_26_08_2015_19_57_12,average,chebyshev,4,0.00099778175354,9,86,0.2783772947671839,34,199
test_3B_26_08_2015_19_57_12,ward,chebyshev,88,0.0009989738464355,2,115,0.235495426893172,34,199
test_4A_07_10_2015_19_43_03,single,euclidean,5,0.0010147094726562,10,173,0.1470127145819386,34,416
test_4A_07_10_2015_19_43_03,complete,euclidean,1,0.002997875213623,9,155,0.2798141766770083,34,416
test_4A_07_10_2015_19_43_03,average,euclidean,13,0.0039973258972167,9,231,0.3092443813705466,34,416
test_4A_07_10_2015_19_43_03,ward,euclidean,95,0.0040080547332763,3,176,0.2998286213218671,34,416
test_4A_07_10_2015_19_43_03,single,canberra,1,0.0009989738464355,10,168,0.5853458625229963,34,416
test_4A_07_10_2015_19_43_03,complete,canberra,1,0.0029981136322021,10,169,0.7053852547906033,34,416
test_4A_07_10_2015_19_43_03,average,canberra,1,0.0029988288879394,10,172,0.7044628070572784,34,416
test_4A_07_10_2015_19_43_03,ward,canberra,107,0.0039982795715332,3,167,0.5685729358095678,34,416
test_4A_07_10_2015_19_43_03,single,cityblock,1,0.0,10,173,0.3282656611912328,34,416
test_4A_07_10_2015_19_43_03,complete,cityblock,28,0.0030100345611572,6,182,0.4430987545538214,34,416
test_4A_07_10_2015_19_43_03,average,cityblock,14,0.0029981136322021,7,169,0.4633203216220798,34,416
test_4A_07_10_2015_19_43_03,ward,cityblock,105,0.0040099620819091,3,168,0.4308988261707427,34,416
test_4A_07_10_2015_19_43_03,single,chebyshev,2,0.0020031929016113,8,330,,34,416
test_4A_07_10_2015_19_43_03,complete,chebyshev,11,0.0039973258972167,9,100,,34,416
test_4A_07_10_2015_19_43_03,average,chebyshev,12,0.0029981136322021,9,163,0.2142497535650713,34,416
test_4A_07_10_2015_19_43_03,ward,chebyshev,98,0.0039966106414794,3,165,0.2014226442677956,34,416
test_5C_07_10_2015_19_46_50,single,euclidean,10,0.0049929618835449,10,973,0.2607981091436241,34,1199
test_5C_07_10_2015_19_46_50,complete,euclidean,17,0.0199892520904541,8,578,0.1861336842134961,34,1199
test_5C_07_10_2015_19_46_50,average,euclidean,1,0.0199804306030273,10,876,0.3170498014346644,34,1199
test_5C_07_10_2015_19_46_50,ward,euclidean,433,0.0249855518341064,2,813,0.3255131712556165,34,1199
test_5C_07_10_2015_19_46_50,single,canberra,1,0.0049974918365478,10,811,0.6896905057265461,34,1199
test_5C_07_10_2015_19_46_50,complete,canberra,1,0.021989107131958,10,823,0.7419775591865448,34,1199
test_5C_07_10_2015_19_46_50,average,canberra,1,0.0169956684112548,9,815,0.741700518346539,34,1199
test_5C_07_10_2015_19_46_50,ward,canberra,424,0.02398681640625,2,822,0.6225411660054101,34,1199
test_5C_07_10_2015_19_46_50,single,cityblock,1,0.0049977302551269,10,975,0.4063513286469561,34,1199
test_5C_07_10_2015_19_46_50,complete,cityblock,185,0.0189886093139648,3,827,0.4514413858591363,34,1199
test_5C_07_10_2015_19_46_50,average,cityblock,42,0.0199787616729736,6,813,0.4780252432028735,34,1199
test_5C_07_10_2015_19_46_50,ward,cityblock,425,0.0260021686553955,2,820,0.4487006425987923,34,1199
test_5C_07_10_2015_19_46_50,single,chebyshev,4,0.0049974918365478,10,1497,,34,1199
test_5C_07_10_2015_19_46_50,complete,chebyshev,57,0.019986867904663,9,290,,34,1199
test_5C_07_10_2015_19_46_50,average,chebyshev,1,0.0209836959838867,10,863,0.2285573394407756,34,1199
test_5C_07_10_2015_19_46_50,ward,chebyshev,126,0.0269873142242431,4,569,0.1518508222790448,34,1199
