Linkage_method,count,mean,std,min,25%,50%,75%,max
average,248.0,0.00233,0.00564,0.0001,0.00014,0.00022,0.00244,0.03824
complete,248.0,0.0022,0.00493,0.0001,0.00014,0.00023,0.00247,0.02533
single,248.0,0.00073,0.00146,9e-05,0.00013,0.00018,0.00073,0.00727
ward,248.0,0.00283,0.00653,0.0001,0.00014,0.00023,0.0032,0.03657
