Distance_messure,count,mean,std,min,25%,50%,75%,max
canberra,248.0,0.41524,0.18985,0.12506,0.25741,0.35512,0.56639,0.8292
chebyshev,248.0,0.1738,0.16308,0.0,0.0,0.20655,0.30838,0.47059
cityblock,248.0,0.31202,0.10288,0.0,0.24386,0.31879,0.39643,0.49577
euclidean,248.0,0.20658,0.09851,-0.19638,0.16052,0.22369,0.27892,0.32903
