Linkage_method,count,mean,std,min,25%,50%,75%,max
average,248.0,4.5,6.83525,1.0,1.0,3.0,5.0,58.0
complete,248.0,19.39113,94.05264,1.0,1.0,2.0,6.0,1199.0
single,248.0,39.56855,137.73531,1.0,1.0,2.0,3.0,1199.0
ward,248.0,7.46371,10.71789,1.0,2.0,3.0,7.25,77.0
