,number,ruleID,attribute_426,attribute_427,attribute_428,attribute_429,attribute_430,attribute_431,attribute_432,attribute_433,attribute_434,attribute_435,attribute_436,attribute_437,attribute_438,attribute_439,attribute_440,attribute_441,attribute_442,attribute_443,attribute_444,attribute_445,attribute_446,attribute_447,attribute_448,attribute_449,attribute_450,attribute_451,attribute_452,attribute_453,attribute_454,attribute_455,attribute_456,attribute_457,attribute_458,attribute_459
31,32.0,1909.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,2.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
32,33.0,1910.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,0.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
33,34.0,1911.0,,,,,,,,,,,,,5.0,1.0,2.0,3.0,1.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
34,35.0,1912.0,,,,,,,,,,,,,5.0,1.0,2.0,3.0,7.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
35,36.0,1913.0,,,,,,,,,,,,,4.0,1.0,2.0,3.0,6.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
36,37.0,1914.0,,,,,,,,,,,,,5.0,1.0,2.0,3.0,4.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
37,38.0,1915.0,,,,,,,,,,,,,2.0,1.0,2.0,3.0,5.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
38,39.0,1916.0,,,,,,,,,,,,,0.0,1.0,2.0,3.0,2.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
39,40.0,1917.0,,,,,,,,,,,,,0.0,1.0,2.0,3.0,0.0,20000.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
40,41.0,1918.0,,,,,5000.0,,,,,,,,1.0,1.0,2.0,3.0,3.0,,7.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
41,42.0,1919.0,,,,,5000.0,,,,,,,,7.0,1.0,2.0,3.0,3.0,,6.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
42,43.0,1920.0,,,,,5000.0,,,,,,,,6.0,1.0,2.0,3.0,3.0,,8.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
43,44.0,1921.0,,,,,5000.0,,,,,,,,4.0,1.0,2.0,3.0,3.0,,1.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
44,45.0,1922.0,,,,,5000.0,,,,,,,,5.0,1.0,2.0,3.0,3.0,,1.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
